[17/5/2021 9:47:24] /b tem cast n?
[17/5/2021 13:17:3] /b fala ai
[17/5/2021 13:17:41] /a
[17/5/2021 13:17:49] /t
[17/5/2021 14:20:15] /a 5
[17/5/2021 14:20:15] /a 5
[17/5/2021 14:20:15] /a 5
[17/5/2021 14:20:15] /a 5
[17/5/2021 14:20:16] /a 5
[17/5/2021 14:20:17] /a 5
[17/5/2021 14:20:22] /a 5
[17/5/2021 14:20:22] /a 5
[17/5/2021 14:20:22] /a 5
[17/5/2021 14:20:22] /a 5
[17/5/2021 14:20:22] /a 5
[17/5/2021 14:20:23] /a 5
[17/5/2021 14:20:23] /a 5
[17/5/2021 14:20:24] /a 5
[17/5/2021 14:20:24] /a 5
[17/5/2021 14:20:25] /a 5
[17/5/2021 14:20:25] /a 5
[17/5/2021 14:20:25] /a 5
[17/5/2021 14:20:33] /a 5
[17/5/2021 14:20:33] /a 5
[17/5/2021 14:20:34] /a 5
[17/5/2021 14:20:34] /a 5
[17/5/2021 14:20:35] /a 5
[17/5/2021 14:20:35] /a 5
[17/5/2021 14:20:36] /a 5
[17/5/2021 14:20:37] /a 5
[17/5/2021 14:20:37] /a 5
[17/5/2021 14:20:42] /a 5
[17/5/2021 14:20:43] /a 5
[17/5/2021 14:20:55] /a 5
[17/5/2021 14:20:55] /a 5
[17/5/2021 14:20:55] /a 5
[17/5/2021 14:20:56] /a 5
[17/5/2021 14:20:56] /a 5
[17/5/2021 14:21:0] /a 5
[17/5/2021 14:21:0] /a 5
[17/5/2021 14:21:1] /a 5
[17/5/2021 14:21:1] /a 5
[17/5/2021 14:21:1] /a 5
[17/5/2021 14:21:2] /a 5
[17/5/2021 14:21:2] /a 5
[17/5/2021 14:21:3] /a 5
[17/5/2021 14:21:3] /a 5
[17/5/2021 14:21:4] /a 5
[17/5/2021 14:21:4] /a 5
[17/5/2021 14:21:4] /a 5
[17/5/2021 14:21:4] /a 5
[17/5/2021 14:21:4] /a 5
[17/5/2021 14:21:4] /a 5
[17/5/2021 14:21:5] /a 5
[17/5/2021 14:21:23] /t
[17/5/2021 14:21:40] /a 5
[17/5/2021 14:24:5] /t
[17/5/2021 14:24:12] /a 5
[17/5/2021 14:24:13] /a 5
[17/5/2021 14:24:16] /a 5
[17/5/2021 14:24:17] /a 5
[17/5/2021 14:24:18] /a 5
[17/5/2021 14:24:18] /a 5
[17/5/2021 14:24:21] /t
[17/5/2021 14:24:23] /t
[17/5/2021 14:24:42] /a 5
[17/5/2021 14:24:42] /t
[17/5/2021 14:25:4] /a 5
[17/5/2021 14:27:9] /a 5
[17/5/2021 14:27:9] /a 5
[17/5/2021 14:27:9] /a 5
[17/5/2021 14:27:9] /a 5
[17/5/2021 14:27:10] /a 5
[17/5/2021 14:27:10] /a 5
[17/5/2021 14:27:10] /a 5
[17/5/2021 14:27:13] /a 5
[17/5/2021 14:27:20] /a 5
[17/5/2021 14:27:21] /a 5
[17/5/2021 14:27:21] /a 5
[17/5/2021 14:27:21] /a 5
[17/5/2021 14:27:21] /a 5
[17/5/2021 14:27:21] /a 5
[17/5/2021 14:27:23] /a 5
[17/5/2021 14:27:24] /a 5
[17/5/2021 14:27:24] /a 5
[17/5/2021 14:27:24] /a 5
[17/5/2021 14:27:25] /a 5
[17/5/2021 14:27:25] /a 5
[17/5/2021 14:27:25] /a 5
[17/5/2021 14:27:26] /a 5
[17/5/2021 14:27:26] /a 5
[17/5/2021 14:27:26] /a 5
[17/5/2021 14:27:28] /a 5
[17/5/2021 14:27:28] /a 5
[17/5/2021 14:27:29] /t
[17/5/2021 14:28:6] /a 5
[17/5/2021 14:28:6] /a 5
[17/5/2021 14:28:6] /a 5
[17/5/2021 14:28:6] /a 5
[17/5/2021 14:28:7] /a 5
[17/5/2021 14:28:8] /t
[17/5/2021 14:28:39] /a 5
[17/5/2021 14:28:39] /a 5
[17/5/2021 14:28:39] /a 5
[17/5/2021 14:28:40] /a 5
[17/5/2021 14:28:40] /a 5
[17/5/2021 14:28:40] /a 5
[17/5/2021 14:28:41] /a 5
[17/5/2021 14:28:41] /a 5
[17/5/2021 14:28:41] /a 5
[17/5/2021 14:28:42] /a 5
[17/5/2021 14:28:42] /a 5
[17/5/2021 14:28:42] /a 5
[17/5/2021 14:28:49] /a 5
[17/5/2021 14:28:53] /t
[17/5/2021 14:29:22] /a 5
[17/5/2021 14:29:22] /a 5
[17/5/2021 14:29:23] /a 5
[17/5/2021 14:29:23] /a 5
[17/5/2021 14:29:23] /a 5
[17/5/2021 14:29:23] /a 5
[17/5/2021 14:29:23] /a 5
[17/5/2021 14:29:24] /a 5
[17/5/2021 14:29:25] /a 5
[17/5/2021 14:29:25] /a 5
[17/5/2021 14:29:26] /a 5
[17/5/2021 14:29:26] /a 5
[17/5/2021 14:29:26] /a 5
[17/5/2021 14:29:26] /a 5
[17/5/2021 14:29:26] /a 5
[17/5/2021 14:29:27] /a 5
[17/5/2021 14:29:27] /a 5
[17/5/2021 14:29:28] /a 5
[17/5/2021 14:29:28] /a 5
[17/5/2021 14:29:28] /a 5
[17/5/2021 14:29:28] /a 5
[17/5/2021 14:29:32] /a 5
[17/5/2021 14:29:33] /a 5
[17/5/2021 14:29:33] /a 5
[17/5/2021 14:29:34] /a 5
[17/5/2021 14:29:34] /a 5
[17/5/2021 14:29:34] /a 5
[17/5/2021 14:29:35] /a 5
[17/5/2021 14:29:35] /a 5
[17/5/2021 14:29:35] /a 5
[17/5/2021 14:29:35] /a 5
[17/5/2021 14:29:36] /a 5
[17/5/2021 14:29:36] /a 5
[17/5/2021 14:29:37] /a 5
[17/5/2021 14:29:37] /a 5
[17/5/2021 14:29:37] /a 5
[17/5/2021 14:29:37] /a 5
[17/5/2021 14:29:38] /a 5
[17/5/2021 14:29:38] /a 5
[17/5/2021 14:29:38] /a 5
[17/5/2021 14:29:39] /a 5
[17/5/2021 14:29:39] /a 5
[17/5/2021 14:29:39] /a 5
[17/5/2021 14:29:39] /a 5
[17/5/2021 14:29:39] /a 5
[17/5/2021 14:29:40] /a 5
[17/5/2021 14:29:40] /a 5
[17/5/2021 14:29:40] /a 5
[17/5/2021 14:29:42] /a 5
[17/5/2021 14:29:42] /a 5
[17/5/2021 14:29:42] /a 5
[17/5/2021 14:29:43] /a 5
[17/5/2021 14:29:43] /a 5
[17/5/2021 14:29:43] /a 5
[17/5/2021 14:29:43] /a 5
[17/5/2021 14:29:46] /a 5
[17/5/2021 14:29:46] /a 5
[17/5/2021 14:29:46] /a 5
[17/5/2021 14:29:48] /a 5
[17/5/2021 14:29:48] /a 5
[17/5/2021 14:29:51] /t
[17/5/2021 14:43:49] /t
[17/5/2021 14:53:30] /a 5
[17/5/2021 14:53:30] /a 5
[17/5/2021 14:53:30] /a 5
[17/5/2021 14:53:31] /a 5
[17/5/2021 14:53:31] /a 5
[17/5/2021 14:53:31] /a 5
[17/5/2021 14:53:34] /a 5
[17/5/2021 14:53:34] /a 5
[17/5/2021 14:53:35] /a 5
[17/5/2021 15:0:16] /t
[17/5/2021 15:15:47] /t
[17/5/2021 20:3:22] /ghost
[17/5/2021 20:4:24] /b espero que todos léu os avisos do bate papo prq depois n vim reclamar
[17/5/2021 20:8:24] !online
[17/5/2021 20:20:3] !online
[17/5/2021 20:28:48] !online
[17/5/2021 20:31:32] /ghost
[17/5/2021 20:31:54] /ghost
[17/5/2021 20:44:32] /ghost
[17/5/2021 20:47:16] /ghost
[17/5/2021 21:20:51] /ghost
[17/5/2021 21:20:53] /ghost
[17/5/2021 21:20:54] /ghost
[17/5/2021 21:20:54] /ghost
[17/5/2021 21:20:54] /ghost
[17/5/2021 21:20:54] /ghost
[17/5/2021 21:20:54] /ghost
[17/5/2021 21:20:55] /ghost
[17/5/2021 21:20:55] /ghost
[17/5/2021 21:20:55] /ghost
[17/5/2021 21:20:55] /ghost
[17/5/2021 21:20:55] /ghost
[17/5/2021 21:20:56] /ghost
[17/5/2021 22:58:8] /ghost
[18/5/2021 6:54:16] /b bom dia
[18/5/2021 20:21:38] /b opa galera
[18/5/2021 21:55:44] /ghost
[18/5/2021 21:58:3] /t
[18/5/2021 22:1:37] /b host nova n cai mas
[18/5/2021 22:2:6] /t
[18/5/2021 22:3:30] /a 5
[18/5/2021 22:3:30] /a 5
[18/5/2021 22:3:30] /a 5
[18/5/2021 22:3:30] /a 5
[18/5/2021 22:3:30] /a 5
[18/5/2021 22:3:31] /a 5
[18/5/2021 22:3:31] /a 5
[18/5/2021 22:3:31] /a 5
[18/5/2021 22:3:31] /a 5
[18/5/2021 22:3:31] /a 5
[18/5/2021 22:3:33] /a 5
[18/5/2021 22:3:33] /a 5
[18/5/2021 22:3:33] /a 5
[18/5/2021 22:3:33] /a 5
[18/5/2021 22:3:33] /a 5
[18/5/2021 22:3:33] /a 5
[18/5/2021 22:3:34] /a 5
[18/5/2021 22:3:34] /a 5
[18/5/2021 22:3:34] /a 5
[18/5/2021 22:3:34] /a 5
[18/5/2021 22:3:34] /a 5
[18/5/2021 22:3:34] /a 5
[18/5/2021 22:3:35] /a 5
[18/5/2021 22:3:35] /a 5
[18/5/2021 22:3:35] /a 5
[18/5/2021 22:3:35] /a 5
[18/5/2021 22:3:35] /a 5
[18/5/2021 22:3:36] /a 5
[18/5/2021 22:3:36] /a 5
[18/5/2021 22:3:37] /a 5
[18/5/2021 22:3:37] /a 5
[18/5/2021 22:3:37] /a 5
[18/5/2021 22:3:37] /a 5
[18/5/2021 22:3:37] /a 5
[18/5/2021 22:3:38] /a 5
[18/5/2021 22:3:38] /a 5
[18/5/2021 22:3:38] /a 5
[18/5/2021 22:3:38] /a 5
[18/5/2021 22:3:40] /a 5
[18/5/2021 22:3:40] /a 5
[18/5/2021 22:3:40] /a 5
[18/5/2021 22:3:40] /a 5
[18/5/2021 22:3:40] /a 5
[18/5/2021 22:3:40] /a 5
[18/5/2021 22:3:41] /a 5
[18/5/2021 22:3:42] /a 5
[18/5/2021 22:3:42] /t
[18/5/2021 22:7:57] /a 5
[18/5/2021 22:7:58] /t
[19/5/2021 0:23:28] /ghost
[19/5/2021 0:25:41] /t
[19/5/2021 0:25:41] /ghost
[19/5/2021 0:26:41] /t
[19/5/2021 0:32:11] /goto Izamoti atira
[19/5/2021 0:33:35] /ghost
[19/5/2021 0:33:45] /t
[19/5/2021 0:37:21] /a 5
[19/5/2021 0:37:22] /a 5
[19/5/2021 0:37:22] /a 5
[19/5/2021 0:37:22] /a 5
[19/5/2021 0:37:22] /a 5
[19/5/2021 0:37:23] /a 5
[19/5/2021 0:37:23] /a 5
[19/5/2021 0:37:23] /a 5
[19/5/2021 0:37:23] /a 5
[19/5/2021 0:37:23] /a 5
[19/5/2021 0:37:24] /a 5
[19/5/2021 0:37:24] /a 5
[19/5/2021 0:37:25] /a 5
[19/5/2021 0:37:25] /a 5
[19/5/2021 0:37:26] /a 5
[19/5/2021 0:37:26] /a 5
[19/5/2021 0:37:27] /a 5
[19/5/2021 0:37:27] /a 5
[19/5/2021 0:37:27] /a 5
[19/5/2021 0:37:28] /a 5
[19/5/2021 0:37:28] /a 5
[19/5/2021 0:37:30] /a 5
[19/5/2021 0:37:30] /a 5
[19/5/2021 0:37:31] /a 5
[19/5/2021 0:37:31] /a 5
[19/5/2021 0:37:32] /a 5
[19/5/2021 0:37:32] /a 5
[19/5/2021 0:37:34] /a 5
[19/5/2021 0:37:38] /a 5
[19/5/2021 0:37:38] /a 5
